id;code unit;unit_id;kode kegiatan;kegiatan;cost_type;name;kode
;11.11;Prodi Teknik Sipil (S1);1.01.01;Rapat koordinasi dgn dosen;Biaya Habis Pakai;Bahan habis pakai;650.1.1.01.01.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.01;Rapat koordinasi dgn dosen;Honor;Honor/Upah;650.1.1.01.01.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.01;Rapat koordinasi dgn dosen;Sewa;Sewa;650.1.1.01.01.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.01;Rapat koordinasi dgn dosen;Outsource;Outsourcing;650.1.1.01.01.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.01;Rapat koordinasi dgn dosen;Overhead;Overhead;650.1.1.01.01.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.02;Ketersediaan rancangan pembelajaran;Biaya Habis Pakai;Bahan habis pakai;650.1.1.01.02.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.02;Ketersediaan rancangan pembelajaran;Honor;Honor/Upah;650.1.1.01.02.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.02;Ketersediaan rancangan pembelajaran;Sewa;Sewa;650.1.1.01.02.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.02;Ketersediaan rancangan pembelajaran;Outsource;Outsourcing;650.1.1.01.02.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.02;Ketersediaan rancangan pembelajaran;Overhead;Overhead;650.1.1.01.02.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.03;Ketersediaan dosen;Biaya Habis Pakai;Bahan habis pakai;650.1.1.01.03.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.03;Ketersediaan dosen;Honor;Honor/Upah;650.1.1.01.03.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.03;Ketersediaan dosen;Sewa;Sewa;650.1.1.01.03.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.03;Ketersediaan dosen;Outsource;Outsourcing;650.1.1.01.03.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.03;Ketersediaan dosen;Overhead;Overhead;650.1.1.01.03.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.04;Kualifikasi dosen;Biaya Habis Pakai;Bahan habis pakai;650.1.1.01.04.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.04;Kualifikasi dosen;Honor;Honor/Upah;650.1.1.01.04.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.04;Kualifikasi dosen;Sewa;Sewa;650.1.1.01.04.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.04;Kualifikasi dosen;Outsource;Outsourcing;650.1.1.01.04.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.04;Kualifikasi dosen;Overhead;Overhead;650.1.1.01.04.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.05;Ketersediaan fasilitas kuliah;Biaya Habis Pakai;Bahan habis pakai;650.1.1.01.05.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.05;Ketersediaan fasilitas kuliah;Honor;Honor/Upah;650.1.1.01.05.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.05;Ketersediaan fasilitas kuliah;Sewa;Sewa;650.1.1.01.05.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.05;Ketersediaan fasilitas kuliah;Outsource;Outsourcing;650.1.1.01.05.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.05;Ketersediaan fasilitas kuliah;Overhead;Overhead;650.1.1.01.05.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.06;Mata kuliah yg ditawarkan dan jumlah kelas;Biaya Habis Pakai;Bahan habis pakai;650.1.1.01.06.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.06;Mata kuliah yg ditawarkan dan jumlah kelas;Honor;Honor/Upah;650.1.1.01.06.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.06;Mata kuliah yg ditawarkan dan jumlah kelas;Sewa;Sewa;650.1.1.01.06.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.06;Mata kuliah yg ditawarkan dan jumlah kelas;Outsource;Outsourcing;650.1.1.01.06.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.06;Mata kuliah yg ditawarkan dan jumlah kelas;Overhead;Overhead;650.1.1.01.06.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.07;Jadual kuliah;Biaya Habis Pakai;Bahan habis pakai;650.1.1.01.07.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.07;Jadual kuliah;Honor;Honor/Upah;650.1.1.01.07.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.07;Jadual kuliah;Sewa;Sewa;650.1.1.01.07.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.07;Jadual kuliah;Outsource;Outsourcing;650.1.1.01.07.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.07;Jadual kuliah;Overhead;Overhead;650.1.1.01.07.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.08;Pengisian KRS oleh mhs;Biaya Habis Pakai;Bahan habis pakai;650.1.1.01.08.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.08;Pengisian KRS oleh mhs;Honor;Honor/Upah;650.1.1.01.08.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.08;Pengisian KRS oleh mhs;Sewa;Sewa;650.1.1.01.08.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.08;Pengisian KRS oleh mhs;Outsource;Outsourcing;650.1.1.01.08.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.08;Pengisian KRS oleh mhs;Overhead;Overhead;650.1.1.01.08.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.09;Daftar peserta kelas & presensi/mhs/kuliah;Biaya Habis Pakai;Bahan habis pakai;650.1.1.01.09.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.09;Daftar peserta kelas & presensi/mhs/kuliah;Honor;Honor/Upah;650.1.1.01.09.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.09;Daftar peserta kelas & presensi/mhs/kuliah;Sewa;Sewa;650.1.1.01.09.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.09;Daftar peserta kelas & presensi/mhs/kuliah;Outsource;Outsourcing;650.1.1.01.09.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.09;Daftar peserta kelas & presensi/mhs/kuliah;Overhead;Overhead;650.1.1.01.09.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.10;Daftar hadir dosen/mata kuliah;Biaya Habis Pakai;Bahan habis pakai;650.1.1.01.10.1.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.10;Daftar hadir dosen/mata kuliah;Honor;Honor/Upah;650.1.1.01.10.2.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.10;Daftar hadir dosen/mata kuliah;Sewa;Sewa;650.1.1.01.10.3.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.10;Daftar hadir dosen/mata kuliah;Outsource;Outsourcing;650.1.1.01.10.4.11.11
;11.11;Prodi Teknik Sipil (S1);1.01.10;Daftar hadir dosen/mata kuliah;Overhead;Overhead;650.1.1.01.10.5.11.11
;11.11;Prodi Teknik Sipil (S1);1.02.01;Lembar penyetaraan;Biaya Habis Pakai;Bahan habis pakai;650.1.1.02.01.1.11.11
